ReviewTitle,ReviewBody,ReviewStar,Product,division
"Lasted only 45 days!!
","No problem with design and noise cancellation but it lasted only for 45 days. The right side is stopped working. I have observed that boat product don't last long even though there quality of sound is good. It's a complete loss for me. I should have buy jbl.
",1,boAt Rockerz 255,negative
"Ultimate product at such a cheap rate.
","Awesome product. Works fantastic. Thanks for giving the freebie. Worth the penny.Pros:Good battery lifeSounds qlty is awesome.Easy to pair and disconnect.Cons:Nothing so far.Would recommend to buy this product as its best in this price range.
",5,boAt Rockerz 255,positive
"Lousy headphones
","I primarily use this headset for my daily bike ride to farm which is full of pot holes , trenches and bad roads. When I listen to music I tend to forget these obstacles and focus on my day to day goals. Day one use was okay. However now whenever I plug this with any of my Bluetooth device, I hear screeching sound just like old days mobile network coverage sound. I tried changing my mobile with other however problem continues. Also if you add another 500rs to will get jbl ones better than this boat rocker. Absolutely waste of money.
",1,boAt Rockerz 255,negative
"You're not going to have an enjoyable experience if you really like your music
","The product really messes up the treble. Notes sounds very muffled and some high pitched beats are audible with only very little intensity. The bass is great though, you'll hear very energetic beat drops. The overall music output is still really substandard.
",3,boAt Rockerz 255,neutral
"Product Stopped Working in 3 Months Disappointing
","I have purchased the product on 7 Dec 2018 stopped working In Feb 2019, Reported it to boat, as per amazon, after a trial of email, the executive does not answer the call who was supposed to pick the product and drops a text that ""NO I AM NOT COMING"". I am left with faulty headphones now. What am I supposed to do with it.
",1,boAt Rockerz 255,negative
"Good sound quality at a reasonable price
","The sound is average not that good as compared to JBL and some other great brands. The bass is more but treble is less. If u travel on a bike or cycle and wind is blowing at a higher speed then there is lag in Bluetooth connection. Overall good at the price of 999. If you want great quality sound go for JBL or boult or Bose.
",3,boAt Rockerz 255,neutral
"Poor quality? I would say so.
","This was a product suggested by many but with my comprehensive use of over two months I can say it's not a good product. The battery life on this thing is highly inconsistent even when I'm listening to music at same volume( It has happened quite a few times that I charge it to a 100 at night but it doesn't last more than an hour ). The second issue I want to point out is the Bluetooth connectivity. This device connected in a blink for a month or so, but then it used to suddenly disconnect from my device. After a month I started facing issues connecting to the device, sometimes ( even with full battery ) the device was not discoverable. As a whole I would not recommend this pair of wireless earphones.
",2,boAt Rockerz 255,negative
"Value for Quality of the Headphone but not for the Sound Quality
","Hi all,This headphone I have purchased to replace my 'JBL T160 in-Ear Headphones with Mic' headphone with lot of expectations from the Boat. But the sound quality of 'JBL T160 in-Ear Headphones with Mic is much better than the Boat.But the physical quality of Boat is awesome. If u are looking for the best sound quality please dont go for it and if u are looking for the physical quality, Boat is the best under Rs.1,500/-Headphone Quality - ****Sound Quality - **Base - **Battery durability - *** (5Hrs)Value for money - ***Over All I can give THREE STARS for this product
",2,boAt Rockerz 255,negative
"Happy Purchasing!
","Received the package on 7th May.It's been 4 days since use.Pros:•Instant Connectivity (switch it on & it's connected),•appreciable Noise-cancellation (can cut all bad vibes around you),•all about Bass <plug into Nirvana>•6-7 hrs assured Play Time (it's ok if you forget about charging),•Easy to use (In-line controls on your commands), Comfortable to ears (go on for hours),•Hardy design & Lighweight.Cons:•Range might be a little bit problem.(=<7ft)•Packaging could be a lot better....Anyways! It's all good at 999/- only.(I mean right now, the price is 1,499/-)Hope my earphone works the same in future too!
",4,boAt Rockerz 255,positive
"After 10 days rough use
","10 days after replacement ..Build quality 3/4* (ok quality but not look premium)Sound quality 4/5* (great not deep bass but good enough to enjoy your songs)Battery 3.5/5* (3 to 4 hrs on playback , enough for a normal day use ) (on Standby great backup)Noice cancelation 4/5* (no one can easily disturb you)Durability 3.4/5* (very rough using but didn't found any sign of damage let see how long)Comfortable in 👂 ear with hook 2.5/5* (painful) 3/5* without hook
",4,boAt Rockerz 255,positive
"Highly recommended and worth for money
","Head phone is really nice to use.. Writing a review after using it for a week.. Sound quality is good. Very easy to use.. Call quality is also nice. I'm using it for taking long calls and listening music..  It fulfil the purpose. Battery life is good and easy to charge.. This product is good for those who look for good blue tooth headset with decent cost.  No cons as such.. Even the ear bud n model is good to use..
",5,boAt Rockerz 255,positive
"Poor battery and noise cancellation
","First impression is good. Sound quality is good. But the grip to hold earphones around your neck is quite light. Sometimes it gets fly away when you are driving. Battery life is good but after using it for 9 days i felt that when the battery is 60% and suddenly it gets down to 20 so fast and recently i was at 60% and suddenly the earphones gets off. After i got replacement, the new product seems to work very nice regarding the battery life but the noise cancellation was damn bad like you can't listen to the music while driving because the noise of the wind is too loud you cant even talk.. and hence i had to return the product..
",2,boAt Rockerz 255,negative
"Good price,good sound quality, Only build flaws
","Hi,Good sound quality at this price range.  I am using it just recently and has already noticed that build is not so good,  one of the biggest flaws actually. Second problem I faced is that the wire is too long,  hence lookwise it looks bit shabby and also it keeps calling from the ear.  Here again the earbuds design not so good to add it to the easily falling off from the ear. Who likes it!  Apart from this boat always provides satisfactory listening experience at cheaper rates. I would love to see it working even after one year even after so many build flaws,  after all if the product is rough and tough at affordable rates,  all this flaws can be ignored.Thanks!
",3,boAt Rockerz 255,neutral
"Don't get influenced by the celebrity ads
","Absolutely poor quality sound, very low volume, lousy bass. I would have even ignored the sound but for the fact that the earphones just don't fit properly. Even with all the options given. These are only suitable for walking at a leisurely pace for those who are on a very tight budget. NOT recommended for running or jogging as the earbuds will keep popping out. I  returned the originals once thinking I had a defective piece but the replacement too had the same issue. Spend a little more and buy something better.
",1,boAt Rockerz 255,negative
"Not a long lasting product
","When we Purchased it in April'2019. Used it for Two months now.....initially the bluetooth convenience in connecting two phone and sound quality made us happy......... but just in two months the volume has become very low... the sound quality has deteriorated ..... so we are  not satisfied . will not suggest anyone else to go for this product.
",2,boAt Rockerz 255,negative
"good while it lasted....
","Was good while it lasted.... three months down the line, one side earphones stopped working (no physical damage or misuse)... now I am trying to contact BOAT customer support for a replacement under warranty, but the support page on their website just does not load/exist...! Will update if and when I can get through to them...
",4,boAt Rockerz 255,positive
"Nice product, great sound.
","I bought this product in sale, so got it in very affordable prices.my first impression towards the wireless earphones are not so good, as it comes with some constraints in which battery issue is one of the major.but after purchasing this product my perception is completely change, this earphone has a very nice battery backup, I have used this earphones since last couple of months but still I have not facing any issue for use this product. also has a very nice build and durable quality.I recommend to all who wants to buy wireless earphone in affordable price.
",4,boAt Rockerz 255,positive
"Best wireless headphone
","I like the build quality of this product and the battery life is awesome and while doing workout comfortness is good but I felt sound quality is not upto the mark while comparing out boat with wire  headsets like 225 only thing is the Boss is not that much good other than that awesome awesome product I got a good deal
",5,boAt Rockerz 255,positive
"DONT BUY CHECK MY REVIEW
","PROS-I GOT FOR JUDT 1K ON SALEBASS IS GOODFOR PRICE OVERALL SOUND QUALITY IS DECENTCON-AT FRIST BATTERY LIFE IS GOOD AFTER USING FOR FEW WEEKS BATTERY LIFE STARTED DRAININGIT AS SEVERAL CONNECTIVITY ISSUES SOMETIMES IT DISCONNECTS AUTOMATICALLYAT MAX VOLUME SOUND WILL START DISTRACTINGCOMES WITH LONG WIRES WHICH LOOKS WEIRDDONT BUY THESE WIRELESS EARPHONE MORE THAN 1K
",2,boAt Rockerz 255,negative
"Bluetooth quality not at all good & very less battery storage
","Purchased two Earphones, out of which one works good, however the second one has very bad battery storage (Drains out within 1 hr play, secondly the Blue tooth quality is not good, gets disconnected frequently from mobile phones.  I would  to better go for an better quality(expensive) earphone.
",1,boAt Rockerz 255,negative
"Mediocre, avoid buying these.
","Headphones have servere connectivity issues  I use the Redmi note 4, the rockerz start having disturbance and voice starts breaking as soon as I keep my phone inside the pocket. Returned the product once 2nd one also had the same issue.Way of keeping them on the neck  with magnet is great.The noise cancellation is pretty good but at the same time is dangerous, it blocks out traffic noise totally.Audio is average, artificial bass dominates everything. Audio quality lacks basic details.Call quality was decent till the time there was no Bluetooth connection issues.Switched to tagg inferno, audio quality is much much better, connectivity problems are close to absent.
",2,boAt Rockerz 255,negative
"Nice & clear sound; great bass and decent price!
","These are a decent pair of earphones at the given price. I have earlier used the Skullcandy and the JBL earphones and compared them, this is not a disappointment at all.The sound quality, clarity and bass are quite good. The quality of voice, when using for phone calls, is pretty nice too.The battery lasts for little more than six hours on continuous use after a single charge.I would highly recommend these earphones.
",5,boAt Rockerz 255,positive
"Best in the price segment
","I am using it for quite a time now & i have to say it's the best one in this price segment. Sound Quality is outstanding with High Bass, it doesn't get wet even when i sweat a lot by running while wearing it. The noise cancellation could have been a little bit better, when on call the other person keeps telling me that background noises keeps on coming. Battery backup is awesome also, it remained on 100% even after playing videos & songs constantly for 3hrs. To sum it up, i have to say it is the best Bluetooth headset under 1500. You should really go for it.
",5,boAt Rockerz 255,positive
"So nice and budget friendly
","Actually I used it almost for 3 months where I feel it's better Time to reviewBattery back is awesome as mentionedBass is superSound quality is goodNoise cancellation is goodIt's also can be wearable when jogging or at the time of exercise there is no tension of falling from ears which I feel so betterFor these reasons I'm so satisfied with the product and costI bought it for Rs 1500/-
",5,boAt Rockerz 255,positive
"Good bass, best for music. Refrain making calls, intermediate battery life
","The bass is amazing. It's good for listening to music. Fit may vary, I have issues with left ear fit. The mic does not cancel background noise, it's a nightmare for person on other side of the call. The battery life is short.
",3,boAt Rockerz 255,neutral
"Recommend to try this product
","I've bought this product. For the music lovers it is really 👌. It has good noice cancellation and the mic works great but the only drawback is that the music doesn't stops even though the ear buds are connected with their magents inbuoit in it. Apart from it the bass, noice cancellation, mic and the battery🔋 backup everything is good and it is affordable price.
",4,boAt Rockerz 255,positive
"Battery Life issue
","Using this headphones from 5-6 days and found below issues.1. Battery life is too poor, while using it shows 100% battery but while using battery drained out in 15-20 minutes2. Automatically disconnection of headphone while connected with phone.3. Ears are paining while using the headphones 1 hour or so.4. Battery discharge very quickly.5. While plugin to charge when its 0%, it started showing 100% charged in 15 minutes, that's a CRAP.I have now returned the product back to the seller and call for a replacement. So, its better to be move towards SONY, JBL or Sennheiser Headphones.
",2,boAt Rockerz 255,negative
"Value for money
","I m writing this review after 1 month of usage. Product is no doubt a value for money, quality of material is decent, battery life is around 6-8 hours. I mostly use it for office calls n response is absolutely marvelous. Earplug wires r pretty long comparative to other neck bands. Bass is good and overall a must buy in this range.
",5,boAt Rockerz 255,positive
"Stopped working. Exchanged item too didn't work.
","Please be careful. This one stopped working in a few months. I exchanged it with BOAT on their official website. I did receive another one. But it stopped working exactly after one week. This is very disappointing.
",1,boAt Rockerz 255,negative
"Decent buds
","It's a good product for the price but if you are expecting to amazing sound quality then it's not for you it's a decent package but mid and lows are lacking bass is power full sound is clear backup is good and that's it! I personally am fan of Sennheiser but this is way more cheaper then that so decide for yourself and yeah it's better that jbl in this price range...
",3,boAt Rockerz 255,neutral
"Nice product and worthable
","Only to sae battery little bit weak and the finiahing of rubber material is very goid also i using in rain season not at all problme also sweat happens no effect  or damage occur to headphones very nice auperb headphone.rest sound  of bass and treble sound is awesome  i buy from amazon.in thanks amazon . From.chepas headphones better buy this one I recommend to all..
",4,boAt Rockerz 255,positive
"Overpriced. Bass should be tuned to prevent it from actual sound.
","<first  hour review>Phone call:Poor voice quality on phone calls. Some bass kills the clarity in voice.Music:Inferior sound quality when listening to music.Podcast:Average performance. Unnecessary bass is spooling the podcast experience.
",3,boAt Rockerz 255,neutral
"Honest review after 2 month continuously using
","it has  extreme bass and a great extent noise cancellation and decent sound clarity. It has a mindblowing battery which gives 7-8 hrs music playback time . It's mic is also good & you will not be  disappointed with the voice quality. But more than putting 2 hrs it feels very uncomfortable to me bcz of its conical buds(can be removed). It's Wires are a bit long which makes it odd in looking.It's long wires really disappointed me. Its packaging is bad.Otherwise it is a very good headphone in this price segment.  I really liked it.
",5,boAt Rockerz 255,positive
"Great sound amd battery.
","Great earphone in sound and built quality but not that good in range. Sound quality is great, even earphone is balanced and stays back in your neck. Battery is also good as I've never counted on timer but yes more than 6 hrs. Earphone can run whole day or single charge. Butto s are good and all functional as told.Mic is too sensitive even small pin drop in room feels like loud sound to person on other side of call.I found only range and mic sensitivity issue, even sometimes sound lags when device is in your hand or pocket.I returned it on these 2 factors only, rest are good.
",4,boAt Rockerz 255,positive
"The Worst Earphones Ever
","First of all,, This review is about Boat Rockerz 255 Bluetooth earphone. Generally , I don't have the habit of writing product reviews but this s*** earphones made me review this in order to save the other consumers who are planning to buy this CRAP. In my opinion ,,Firstly , An earphone should be comfortable to wear. In this regard,, it makes you to cry in pain even after 5 minutes of usage !! Secondly , it should have a good audio Quality !! It's just okayish when it comes to sound quality, Nothing great to talk about it. Overall, Never buy this earphone even if they give it for free unless if you wanna hurt your ears with this abysmal earphones.
",1,boAt Rockerz 255,negative
"Good but not the best
","The product is good.Sound is almost acceptable at the priceGood bass thoughNoise cancellation is decentThe eartips are not that comfortable for long time useBattery last about 3 days as per my usage of daily 3-4 hours of useBuilt quality and design is goodLove the magnet concept, helps to keep the earphones in placeThey could have added the pause feature if possibleIf you get a good deal go for it
",4,boAt Rockerz 255,positive
"Surrounding issue
","In 2 months surrounding issue...1 side is totally damaged..And not working...Want to replace...Plzz help
",1,boAt Rockerz 255,negative
"Read full review
","I am writing this review after using it for 2 months,  Sound quality is good, not comfortable in ears, headphones are very lightweight that you couldn't wear this while driving at 60kmph, batry last for one day when fully charged, couldn't change the songs from control keys
",3,boAt Rockerz 255,neutral
"Good Product, as long as it lasts. (4 months for me)
","I bought this product in Jan 2019, and now in May 2019 one of its earpieces has stopped working. The earphones performed well while they were working. The sound quality was good, and connection with the phone remained solid throughout. Full chsrgey took around 2-3 hours and it lasted for 6-7 hours on an average.The mic is a little weak, I had to often repeat what I said as the voice wasn't clear sometimes on the other end.I used them extensively for jogs and gym and they performed admirably, never getting out of the ear midway and the coiled around the neck pretty comfortably.Just expected them to last more than just 4 months.
",3,boAt Rockerz 255,neutral
"Overpriced but best sound quality in this price
","I am surprised by negative reviews but I am extremely happy about the build quality, design and sound quality.Of course I am just using it for 1 day now. I will update again if needed. I hope I won't have to!Note: I bought it for 1999 and in 2 days the price dropped by 500. Now they are selling it for 1499. :-(
",5,boAt Rockerz 255,positive
"Value for money. Best sound quality at this price.
","Best deal if you are getting it under 1500. They are easy to use and sound quality is exceptionally good, which is least expected at this price. The built is such that they don't easily fit in any carry case especially not in the one which is mentioned in bought together catagory. The battery time is great but the info regarding the percentage battery left can be deceptive as displayed. One moment it displayes 60 % and next moment it's exhausted. But the backup is great . Can be listned for more than 4 hours when connected
",4,boAt Rockerz 255,positive
"Bang for buck, but.....
","Got it at 900/- at a sale and it's a bang for the price. The Bluetooth connectivity is quite good and connects properly everytime. The range is around 10 metres and the sound distorts if you are in another room. The sound quality is okayish.. Neither too loud, nor too low. The disappointment is that the bass is flat. Don't know whether this defect is only on my device or for the entire range.  Battery backup is around 4-5 hours. But will drain your phone's battery really fast. It's a really good deal for the price, but it is not that great!Hit Like of this helped you.. Happy buying! ☺️
",4,boAt Rockerz 255,positive
"Boat Rockers  BT 255
","One of best BT Earphones at this price range, noise cancellation is really awesome. BT connectivity is good some time when mobile is on pocket lite disconnections for Milli seconds...other than this product is good at this price range, audio sync with video is perfect.....!!! Boat is best at this
",4,boAt Rockerz 255,positive
"🚨Not Durable at all...
","I bought it in Jan-2019 & it stopped working in May-2019.Build quality is good & sound quality was also pretty good.But it stopped working & charging. If I charge it for whole night then it is only usable for few minutes & then it is turned off.
",1,boAt Rockerz 255,negative
"Good and durable
","Using for 6 months. Good battery life of 8 hrs. Sound quality is fine. Can be connected to two devices at  a time. The buttons for forward and previous tracks doesn't work properly. If you are getting it for below 1500, go for it. Overall it's good.
",4,boAt Rockerz 255,positive
"Worst product I have seen ever and not suitable for gym purpose
","1) Sound QualitySound quality is very bad their no bass it looks like a copy product of boat Samsungs wired handsfree are much batter than this handfrees.2) Not suitable for gyming purposes the handfree is only good when you are sitting at one place and using handfree.If you are not stable ate one place hanfree will come out from ears again and again.3) worst customer support from Amazon they are making customers fool by giving 10 days return policy after purchasing the product you can not replace or return your product they only show that you can return your product under 10 days but actually you can not.
",1,boAt Rockerz 255,negative
"Honest review from music producer
","Review as below in ratingFirst of all its A Bass Boosted Earphone.not natural soundBuilt quality 4 /5......wires too thin......Sound quality 4/5......It Has Lots Of Bass frequency.....Bluetooth Connectivity 5/5... Cover more area without jerkBattary 5/5Pros... nice Bluetooth in this price rangeCons..... earphones wire too long hanging on neck it should be lil short as compare to other earphnesThis review by using 2/3 days..dnt knw abt long term..
",4,boAt Rockerz 255,positive
"Best earphone of range as it says ""U HV PLUGGED INTO NIRVANA""
","Bass was almost good, atleast way better then wireless earphones of same range. Design is good magnet provided realy makes it feel great. Sound quality is good, clear sound, mic works perfect, no problem faced, amazed that it could actually connect with my phone and lappy together and swithched to phone auto when there was a call, battery life is pretty awesome, got almost 8-9 with first use, problem was that nither my oneplus 6t nor my lappy could show the ryt battery level. Got at 1400 so a pretty awesome deal.
",5,boAt Rockerz 255,positive
"Awesome boat
","Purchased almost 2 months used it roughly.....as mentioned it is sweat proof.....sometimes the conection breaks when mobile is in pocket but it is nor regular... Good bass and sound quality.....connects to 2 devices no connectivity issues.....battery lasting for almost 10 hours.....happy with the device
",5,boAt Rockerz 255,positive
"Not charging bought just 7 days back
","I am not sure what went wrong I used for while jogging and in a week's time it is not charging. My return period has also expired yesterday 18th Feb 2019. I keep it for charging but the red light never glows and also not switching on. Regret buying this product for 2000. Advise not to buy this product very bad quality. Should have invested that 2000 in some other products. I have been a regular buyer in Amazon did not expect this type of product. Please allow me to return this product
",1,boAt Rockerz 255,negative
"Awesome bass and sound
","I just received 255Sound nd bass awesomeBluetooth range 10 mtrs.Bill is not complete.Bill half-torn: If there is a problem in it, then there will be no problem in replacing it?If it is kept in a mobile room, then its range is 10-12 feet when you go out.If the mobile is kept out and we are out: its range is 30 ft.Received 4 earbuds.call ke time bat krne pr srrrr srrr ki awaj aa rhi h.Aaj to mujhe Mila hai.ise kuch time use krne ke baad hi kuch or bta skuga.abhi tk to ye mstttt hIt's my third boat product1st boat car charger2nd boat headphoneNd 3rd rockerz 255.
",4,boAt Rockerz 255,positive
"Disappointed with product design
","Sound quality is great and good bass, but disappointed with product design. Volume up/down tone is played whenever there is a change in audio stream. Example while scrolling Facebook and Instagram videos page, Volume up/down tone is played each time before start of the video. This is very irritating, looks like product design fault. I have observed this on my iPhone 6+, not sure about Android behavior.Note: this is behavior observed after device volume control is used.
",1,boAt Rockerz 255,negative
"good product
","It was my first wireless headset. sound quality is very good. ear bud is little bigger which is not comfortable when wearing helmets over this.
",5,boAt Rockerz 255,positive
"Not worth the price
","Bought this for 1999. I was hoping this would be better than the Chkoko earphones I owned. Build quality is flimsy, but I wasn't expecting any better for the price. The Bluetooth connection was smooth, but the range is that for 10 feet.  Expect that to drop significantly if you walk out of the room or if there is a wall in between. Didn't fit into my ear very well and felt uncomfortable.Was surprised by the distorted sound quality. I am not an audiophile but these earphones don't do justice oo higher volumes and on call mic operations. Would not recommend. Returned.
",1,boAt Rockerz 255,negative
"Value for money for music lovers with excellent output
","I was under confusion about the brand ""boat"" as most of us are habituated with Sony -senhiser-jbl etc.I gave a tried and very happy about the sound output you can go for it without hesitation.Super bass and treble as like senhiser.Small part need to check from boat company that is charging point of ear phone can be redesigned.
",5,boAt Rockerz 255,positive
"Comfy, entry level piece
","Comfortable to wear and extremely simple to set up. Got a funky feel to the brand. I feel the sound has a higher bass tone, which can’t be adjusted. Battery life while on calls should be better. That said, this set is really growing on me and worth the price (1.8k)
",4,boAt Rockerz 255,positive
"1 side stopped below 1 month.
","At first it's look good. While using sometimes it fell out of the ears. I have changed all the earbuds to suit my ears but it fell of when you are looking down.Now it's stopped left side. No tanglin nothing don't know how it stopped. Don't waste the money by buying cheap Bluetooth.I had a faith in boat because of their sound quality which they had in small budget earphones but this one is not worthyBass is medium not punchy for that bass  you can choose boat basshead  ₹599 its very good.
",1,boAt Rockerz 255,negative
"Cannot rely on durability..It's worst
","Battery life is good . I don't know suddenly it started to fully charged but when tried to power on its not working. It's only 1 month I hardly used it and it's gone no use now . Totally waste of money . I recommend not to buy
",1,boAt Rockerz 255,negative
"Worth buying compared to other bluetooth headphones
","good quality light weight . Long battery backup.  So far I have used this for more than 20 days,  I have not faced any battery issues.  If you use only to answer the call then u will get 8hrs approx backup and music backup may vary as per ur usage.  Very good sound quality.  This is my second Bluetooth headset
",5,boAt Rockerz 255,positive
"review after 5 months usage.
","this should have come with a disclaimer-you will never look like Jaqueline Fernandez that you find in the manual coming along with this product. What I meant is not the cosmetic beauty of hers. The wire has to be twisted before you plug into the ear or it sticks out giving you an embarassing look in the public. This I learnt after several months into buying the product. Jaqueline was lucky enough to have somebody help her with the twisting part. On other accounts,Sound Clarity - 4/5Noise cancellation - 2/5Gym compatibility(sweat, chaos) - 5/5
",3,boAt Rockerz 255,neutral
"I feeling Like I was Cheated!!!!
","Exactly after a Week of Last day of Return, the Product Started malfunctioning.  It Does not get switched on without plugging to a power source (Some times). Automatically, the Volume is getting reduced and Increased, Automatically the Songs getting Paused and Changed in the middle.. (No touch required at all....). Mic also Not working properly. I have checked this with Other Mobile also , and got the same results.Full time u can hear the Sound of Some one Pressing the volume Button.. Beep Beep beep.I want to Return or Replacement. Very bad Experience.
",1,boAt Rockerz 255,negative
"Too good headphones!!! just a bit shaky on receiving call when two devices are connected.
","Go for the headphones blindly if you are getting it below 1500. Such a awesome sound quality. Had been using it for almost 6 months and they are awesome I tell you.  Best part it is not like most of the bass earphones who sound is not bearable. Just a con, when connected to two devices, say you are listening to music from computer and suddenly receive a call from phone then the voice is bit shaky. Also the range is too good for a earphone like this. Best one from Boats!!!!
",5,boAt Rockerz 255,positive
"Not lasting and 1 year warranty is useless as supplier is not reachable
","Its good for listening music or watching videos, but for calling purpose sound its JUST OKAY.Battery life is Okay not Good.I am using them from last 3 months and right side ear phone is not working.I tried to contact supplier for warranty claims but its not easy to contact him even AMAZON's customer support is not helpful. Number they have given is not going through.I paid around 1500/- and now they are not working properly :(
",3,boAt Rockerz 255,neutral
"Automatically disconnects after 30 minutes of use.
","The product seemed good initially (including the design, weight balance, sound quality etc). However, within 15 days of use, it has started behaving funny as it gets disconnected after 30 minutes of use (even when mobile is in my pocket). So, I can't trust this Bluetooth earphone while taking official calls.
",2,boAt Rockerz 255,negative
"This is beyond my expectations.
","More than what I expected. I always brought high end earphones and lately understood that high-end earphones are not worth the price.Hence I went for this budget one (1100 rs).Its really awesome .It’s quality is equal to the high end earphones I had.Never expected such a excellent sound output.There is a good balance between Bass and Treble.Lightweight and raging red colour addsup to the euphoria it creates. Unmatchable sound quality for this price and comfortable wear.
",5,boAt Rockerz 255,positive
"Highly NOT RECOMMEND!!!
","People having Sony or other good earphones experience, don't go for it. You will not like it at all.I am personally a Sony user, but after a long time I wanted to other brand. This is where I went wrong.Honestly, people who don't have Sony experience can like(mentioning 'CAN') this earphone. But for those who love Sony sound, don't go for it.
",2,boAt Rockerz 255,negative
"Ok ok .... compared to others and cost it's ok to buy
","Wire length is large need to reduce it . And u can't find case to keep it.so Don't forgot to keep box with you.you are able to.listen very small sound.also louder in call l. Some times.while listening songs by keeping phone in pocket and moving sound getting distrurbed. My first one is not able to connect two devices at a time. After exchange I got right one .but still needs some improvements
",3,boAt Rockerz 255,neutral
"Not connecting to two devices simultaneously
","It says it can connect to two devices, but, it does not. You have to disconnect from first to connect to second. And then it takes too much time/tries to connect to the second one. It also lags if u connect it to laptop and watch Netflix, if you jump 10 minutes ahead, the voice quality deteriorates heavily.Sound quality is okayish. Got it at 999, still returned it.
",2,boAt Rockerz 255,negative
"Average, I am not interested
","Not good as I thought. Writing this review after using 3months. Noise cancellation is not good. I purchased two headset of boat rockers 255. One of those set partially stopped working. Called amazon customer service. Waiting for replacement.
",1,boAt Rockerz 255,negative
"Good Sound; Bad for Running
","I wanted something to replace my TomTom's bluetooth ear phones (ah, how I miss them).  While the sound quality is way better then what I derived from TomTom's original set, but boat Rockerz are heavy, bouncy and needs your attention all the time while running. The heavy arms are probably the reason for  delivering the sound quality and longer battery life, but they surely are not for runners.
",3,boAt Rockerz 255,neutral
"Disappointing
","I received it yesterday, as I wanted a wireless earphones. Quality of sound is just disappointing, so much of bass, it masks all the finer tunes. I am using Sound magic E10c, which in terms of sound quality way ahead of this product. I purchased it in 1199/- in sale (these sales are just selling gimmick,I knew BoAt is just a branding on chinese stuffs like micromax, they can sell their item only on e plateform, still I thought to give it a try.
",2,boAt Rockerz 255,negative
"Overall it's good
","It's good one..sound is much better den JBL..But guys u need to work on battery life.. it's showing 6hrs ..Bt battery don't complete the race of 6hrs
",4,boAt Rockerz 255,positive
"Wrost product supplier
","Worthless product distorted sound, nice basss, fatela avaj, battery life was good at starting but after some days you need to recharge battery regular, when battery percentage was 60% or below it's behave like 0% and you need to recharge it, also sounds not good the coming from that little hole is like totally distorted.
",1,boAt Rockerz 255,negative
"Great User Experience
","Quality is great, the cord is longer than normal and headphones have held up for months of hard use at gym, running etc. with no damage whatsoeverSound is warm and full, the highs are not annoying and the bass isn't overemphasized which allows you to listen to them over extended periods of time. Probably the best sounding pair of in ear headphones I've ever owned
",5,boAt Rockerz 255,positive
"Unreliable
","item stopped working within 15 days,  completely dead. charging also not showing anything, reading the other reviews its clear that there are many ppl who had faces this issue with the earphones it suddenly stops working and shows no signs.
",1,boAt Rockerz 255,negative
"Cheap quality product
","Durability : Left ear phone has stopped working !!This is within 25 days of buying the product. Suggest not to buy this product .
",1,boAt Rockerz 255,negative
"Normal Earphones with Bluetooth Range Issues and Battery Drain issues
","Hello People,Earphones provides good sound and bass. Although it not worth to have Bluetooth earphone with battery drain issues and Bluetooth range is 1-2m.I find earphone giving issues and glitches in connections in calls and sound after 2 meters.Also Battery is below average with 2-3 hours max capacity.Best of all is Amazon does not provide return on this product, only exchange option is availble.Think twice before buying this product.
",2,boAt Rockerz 255,negative
"Great for the buck
","Based on usage so far I have very few complaints. The buttons that are programmed for volume, can't be programmed for media changer. And that there is no caller id in the earphones, but apart from these I love the product. Yes the sound quality or noise cancellation is not as great as airpods or high end earphones, which is obvious given the cost of the product. But for the price, the product is great.
",4,boAt Rockerz 255,positive
"useless product don't purchase.
","worst of product weast of money,  i have purchased this hear phones 5 months back now both the speakers not working. i had raised the ticket for the same but no use.. several times i am trying to reach out custumer support not answered.Finally i realised that purchasing this kind of products weast of money and time spending to order this.
",1,boAt Rockerz 255,negative
"Best earphone if bought under 1500
","I used this product for like 6 months. In between one side of its earphone stopped working but boat team is too responsive as they replaced this product with new one. Sound quality is good but if you want better quality would recommend for other product. Battery life is best even using for so much of time. But facing difficulties as there always some kind of issue happening again and again. Other then its fine if it is bought under sale.
",3,boAt Rockerz 255,neutral
"Boat 255 review
","Packaging quality is superb... Thanks amazonAbout product-1. Sound Quality is mesmerize2. Right earphone 's bass output quite less as compate to left.3. Build quality is awesome and long lasting.4. Easy to connect with device.5. Neck design is superb and rest on neck with no issue.6. Earbird are proper fit in ear not come out During running.
",4,boAt Rockerz 255,positive
"Ahh! damn this extreme bass with this nominal price had fired the music soul within me.
","Overall the product is perfectly fine from bass, terrible, noise cancellation, battery everything is up to mark. Boat is providing the best ever music quality and it's for sure a product that can be purchased with close eyes.Cons**Amazon packing is worst, I have got the product with open sealed,  I was thinking about the return but though product was running alright I changed my mind to keep it so.**No casing, sometimes it became hard to keep them apart from wearing.
",5,boAt Rockerz 255,positive
"There are better options
","Good but keeps disconnecting sometimes when the phone is in my pocket. Also option to navigate through the songs is limited. Also not sure if the product delivered was a 2nd hand one judging by the package condition. I think better to buy from shop after inspection of seal and every thing.
",4,boAt Rockerz 255,positive
"No Noise Cancellation
","No Noise cancellation makes it difficult to talk on call mic capturing too much of background noise, speaker is good
",3,boAt Rockerz 255,neutral
